"id","code","name","city_id/id"
"res_city_sector_APE","APE","ESTACION PALESTINA","l10n_cl_fe.CL02101"
"res_city_sector_APP","APP","PAPOSO","l10n_cl_fe.CL02101"
"res_city_sector_APZ","APZ","ESTACION PAN DE AZUC","l10n_cl_fe.CL02101"
"res_city_sector_ASC","ASC","SAN CRISTOBAL","l10n_cl_fe.CL02101"
"res_city_sector_ATM","ATM","AZUFRERA PLATO DE SO","l10n_cl_fe.CL02101"
"res_city_sector_AVE","AVE","ESTACION VARILLA","l10n_cl_fe.CL02101"
"res_city_sector_AXA","AXA","EX OFICINA ALEMANIA","l10n_cl_fe.CL02101"
"res_city_sector_AXC","AXC","EX OFICINA CHILE","l10n_cl_fe.CL02101"
"res_city_sector_AXF","AXF","EX OFICINA FLOR DE C","l10n_cl_fe.CL02101"
"res_city_sector_AZF","AZF","AZUFRERA","l10n_cl_fe.CL02101"
"res_city_sector_BQO","BQO","BAQUEDANO","l10n_cl_fe.CL02101"
"res_city_sector_CIN","CIN","CARMEN ALTO","l10n_cl_fe.CL02101"
"res_city_sector_CPL","CPL","CERRO PARANAL","l10n_cl_fe.CL02101"
"res_city_sector_ESA","ESA","ESTACION SOCOMPA","l10n_cl_fe.CL02101"
"res_city_sector_LNA","LNA","LA NEGRA","l10n_cl_fe.CL02101"
"res_city_sector_MIN","MIN","MINA LOMAS BAYAS","l10n_cl_fe.CL02101"
"res_city_sector_MTB","MTB","MANTOS BLANCOS","l10n_cl_fe.CL02101"
"res_city_sector_PRL","PRL","PARANAL","l10n_cl_fe.CL02101"
"res_city_sector_RAN","RAN","RANCHO ANTOFAGASTA","l10n_cl_fe.CL02101"
"res_city_sector_ZSM","ZSM","ISLA SANTA MARIA","l10n_cl_fe.CL02101"
"res_city_sector_AHO","AHO","HORNITOS - ANTOFAGAS","l10n_cl_fe.CL02102"
"res_city_sector_MJS","MJS","MEJILLONES","l10n_cl_fe.CL02102"
"res_city_sector_CCR","CCR","CARACOLES","l10n_cl_fe.CL02103"
"res_city_sector_CDQ","CDQ","CENTINELA","l10n_cl_fe.CL02103"
"res_city_sector_FDT","FDT","FLOR DEL DESIERTO","l10n_cl_fe.CL02103"
"res_city_sector_MLZ","MLZ","MELLIZOS","l10n_cl_fe.CL02103"
"res_city_sector_MZL","MZL","MINERA ZALDIVAR","l10n_cl_fe.CL02103"
"res_city_sector_SGD","SGD","SIERRA GORDA","l10n_cl_fe.CL02103"
"res_city_sector_AMR","AMR","ALTAMIRA","l10n_cl_fe.CL02104"
"res_city_sector_CFI","CFI","CIFUNCHO","l10n_cl_fe.CL02104"
"res_city_sector_LPV","LPV","LA POLVORA","l10n_cl_fe.CL02104"
"res_city_sector_SDA","SDA","ESMERALDA","l10n_cl_fe.CL02104"
"res_city_sector_TTL","TTL","TALTAL","l10n_cl_fe.CL02104"
"res_city_sector_CAP","CAP","CASPANA","l10n_cl_fe.CL02201"
"res_city_sector_CAY","CAY","AYQUINA","l10n_cl_fe.CL02201"
"res_city_sector_CBT","CBT","BANOS DE TURI","l10n_cl_fe.CL02201"
"res_city_sector_CCB","CCB","ESTACION CERRITOS BAYOS","l10n_cl_fe.CL02201"
"res_city_sector_CCI","CCI","CONCHI   ","l10n_cl_fe.CL02201"
"res_city_sector_CCV","CCV","CONCHI VIEJO","l10n_cl_fe.CL02201"
"res_city_sector_CEY","CEY","CUPO","l10n_cl_fe.CL02201"
"res_city_sector_CHU","CHU","CHIUCHIU","l10n_cl_fe.CL02201"
"res_city_sector_CJC","CJC","CALAMA","l10n_cl_fe.CL02201"
"res_city_sector_CJI","CJI","INCACALIRI","l10n_cl_fe.CL02201"
"res_city_sector_COV","COV","TOCONCE","l10n_cl_fe.CL02201"
"res_city_sector_CSR","CSR","SANTA ROSA - CALAMA","l10n_cl_fe.CL02201"
"res_city_sector_CTN","CTN","TUINA","l10n_cl_fe.CL02201"
"res_city_sector_CXL","CXL","LASANA","l10n_cl_fe.CL02201"
"res_city_sector_ELA","ELA","MINA EL ABRA","l10n_cl_fe.CL02201"
"res_city_sector_LZR","LZR","LINZOR","l10n_cl_fe.CL02201"
"res_city_sector_MCD","MCD","MINA CERRO DOMINADOR","l10n_cl_fe.CL02201"
"res_city_sector_MFD","MFD","MINA FARIDE","l10n_cl_fe.CL02201"
"res_city_sector_MGY","MGY","MINA GABY","l10n_cl_fe.CL02201"
"res_city_sector_MLT","MLT","MINA EL LITIO","l10n_cl_fe.CL02201"
"res_city_sector_MRT","MRT","MINA RADOMIRO TOMIC","l10n_cl_fe.CL02201"
"res_city_sector_QUI","QUI","CHUQUICAMATA","l10n_cl_fe.CL02201"
"res_city_sector_SJE","SJE","SAN JOSE  ","l10n_cl_fe.CL02201"
"res_city_sector_SPM","SPM","MINERA SPENCER","l10n_cl_fe.CL02201"
"res_city_sector_TTR","TTR","TURI","l10n_cl_fe.CL02201"
"res_city_sector_AMC","AMC","AMINCHA","l10n_cl_fe.CL02202"
"res_city_sector_ASN","ASN","ASCOTAN","l10n_cl_fe.CL02202"
"res_city_sector_CCZ","CCZ","CALACHUZ","l10n_cl_fe.CL02202"
"res_city_sector_CEB","CEB","ESTACION CEBOLLAR","l10n_cl_fe.CL02202"
"res_city_sector_CLQ","CLQ","LEQUENA","l10n_cl_fe.CL02202"
"res_city_sector_CXP","CXP","POLAN","l10n_cl_fe.CL02202"
"res_city_sector_ETC","ETC","ESTACION CARCOTE","l10n_cl_fe.CL02202"
"res_city_sector_OLL","OLL","OLLAGUE","l10n_cl_fe.CL02202"
"res_city_sector_QCA","QCA","AUCANQUILCHA","l10n_cl_fe.CL02202"
"res_city_sector_SPD","SPD","SAN PEDRO DE ATACAMA","l10n_cl_fe.CL02202"
"res_city_sector_CAA","CAA","AGUAS BLANCAS","l10n_cl_fe.CL02203"
"res_city_sector_CIL","CIL","TILOMONTE","l10n_cl_fe.CL02203"
"res_city_sector_CMR","CMR","CAMAR","l10n_cl_fe.CL02203"
"res_city_sector_CSB","CSB","SAN BARTOLO","l10n_cl_fe.CL02203"
"res_city_sector_CSE","CSE","SOCAIRE","l10n_cl_fe.CL02203"
"res_city_sector_CTB","CTB","TALABRE","l10n_cl_fe.CL02203"
"res_city_sector_CTP","CTP","TILO POZO","l10n_cl_fe.CL02203"
"res_city_sector_CTZ","CTZ","ALITAR","l10n_cl_fe.CL02203"
"res_city_sector_PNI","PNI","PEINE","l10n_cl_fe.CL02203"
"res_city_sector_RGS","RGS","RIO GRANDE - CALAMA","l10n_cl_fe.CL02203"
"res_city_sector_RMA","RMA","PURITAMA","l10n_cl_fe.CL02203"
"res_city_sector_SPX","SPX","SAN PEDRO DE ATACAMA","l10n_cl_fe.CL02203"
"res_city_sector_TCO","TCO","TOCONAO","l10n_cl_fe.CL02203"
"res_city_sector_ACB","ACB","CALETA BOY","l10n_cl_fe.CL02301"
"res_city_sector_ACE","ACE","CALETA BUENA - ANTOF","l10n_cl_fe.CL02301"
"res_city_sector_ACJ","ACJ","COBIJA","l10n_cl_fe.CL02301"
"res_city_sector_AMI","AMI","MICHILLA","l10n_cl_fe.CL02301"
"res_city_sector_MIC","MIC","MINA MICHILLA","l10n_cl_fe.CL02301"
"res_city_sector_TOC","TOC","TOCOPILLA","l10n_cl_fe.CL02301"
"res_city_sector_AET","AET","ESTACION MIRAJE","l10n_cl_fe.CL02302"
"res_city_sector_ALQ","ALQ","OFICINA PEDRO DE VAL","l10n_cl_fe.CL02302"
"res_city_sector_CQG","CQG","QUILLAGUA","l10n_cl_fe.CL02302"
"res_city_sector_MAE","MAE","MARIA ELENA","l10n_cl_fe.CL02302"
"res_city_sector_MEQ","MEQ","MARIA ELENA SOQUIMICH","l10n_cl_fe.CL02302"
"res_city_sector_OVR","OVR","OFICINA VERGARA","l10n_cl_fe.CL02302"
"res_city_sector_BQQ","BQQ","BARRANQUILLAS","l10n_cl_fe.CL03101"
"res_city_sector_CCM","CCM","CALETA DEL MEDIO","l10n_cl_fe.CL03101"
"res_city_sector_CHX","CHX","HACIENDA CASTILLA","l10n_cl_fe.CL03101"
"res_city_sector_CPO","CPO","COPIAPO","l10n_cl_fe.CL03101"
"res_city_sector_CTX","CTX","TOTORAL","l10n_cl_fe.CL03101"
"res_city_sector_QCP","QCP","CALETA PAJONAL","l10n_cl_fe.CL03101"
"res_city_sector_CBH","CBH","BAHIA INGLESA","l10n_cl_fe.CL03102"
"res_city_sector_CLR","CLR","CALDERA","l10n_cl_fe.CL03102"
"res_city_sector_CPV","CPV","PUERTO VIEJO","l10n_cl_fe.CL03102"
"res_city_sector_RCD","RCD","RANCHO CALDERA","l10n_cl_fe.CL03102"
"res_city_sector_AMN","AMN","AMOLANAS","l10n_cl_fe.CL03103"
"res_city_sector_CBD","CBD","ELISA DE BORDO","l10n_cl_fe.CL03103"
"res_city_sector_CGD","CGD","LA GUARDIA","l10n_cl_fe.CL03103"
"res_city_sector_CLJ","CLJ","LAS JUNTAS","l10n_cl_fe.CL03103"
"res_city_sector_CLW","CLW","LOS LOROS","l10n_cl_fe.CL03103"
"res_city_sector_CLZ","CLZ","LOS AZULES","l10n_cl_fe.CL03103"
"res_city_sector_CMQ","CMQ","MINA LA COIPA","l10n_cl_fe.CL03103"
"res_city_sector_CNN","CNN","NANTOCO","l10n_cl_fe.CL03103"
"res_city_sector_CVO","CVO","EL VOLCAN","l10n_cl_fe.CL03103"
"res_city_sector_CVX","CVX","VALLE HERMOSO","l10n_cl_fe.CL03103"
"res_city_sector_CXA","CXA","LA PUERTA","l10n_cl_fe.CL03103"
"res_city_sector_CYO","CYO","CHANARCILLO","l10n_cl_fe.CL03103"
"res_city_sector_MCR","MCR","MINA CANDELARIA","l10n_cl_fe.CL03103"
"res_city_sector_MTE","MTE","MINA MARTE","l10n_cl_fe.CL03103"
"res_city_sector_PPE","PPE","PAIPOTE","l10n_cl_fe.CL03103"
"res_city_sector_QCI","QCI","COLINA","l10n_cl_fe.CL03103"
"res_city_sector_QHN","QHN","HORNITOS - COPIAPO","l10n_cl_fe.CL03103"
"res_city_sector_QPL","QPL","PASTOS LARGOS","l10n_cl_fe.CL03103"
"res_city_sector_QPQ","QPQ","PUQUIOS","l10n_cl_fe.CL03103"
"res_city_sector_RQM","RQM","TOTORALILLO","l10n_cl_fe.CL03103"
"res_city_sector_SAI","SAI","SAN ANTONIO - COPIAP","l10n_cl_fe.CL03103"
"res_city_sector_TRM","TRM","TIERRA AMARILLA","l10n_cl_fe.CL03103"
"res_city_sector_CFL","CFL","FLAMENCO","l10n_cl_fe.CL03201"
"res_city_sector_CHN","CHN","CHANARAL - COPIAPO","l10n_cl_fe.CL03201"
"res_city_sector_CPF","CPF","PUERTO FINO","l10n_cl_fe.CL03201"
"res_city_sector_CPZ","CPZ","PAN DE AZUCAR - COPI","l10n_cl_fe.CL03201"
"res_city_sector_OBT","OBT","OBISPITO","l10n_cl_fe.CL03201"
"res_city_sector_QMD","QMD","MINA DICHOSA","l10n_cl_fe.CL03201"
"res_city_sector_QME","QME","MINA LA ESTRELLA","l10n_cl_fe.CL03201"
"res_city_sector_QPO","QPO","PLAYA REFUGIO","l10n_cl_fe.CL03201"
"res_city_sector_RSO","RSO","MINA ROSARIO","l10n_cl_fe.CL03201"
"res_city_sector_CFC","CFC","FINCA DE CHANARAL","l10n_cl_fe.CL03202"
"res_city_sector_CLC","CLC","MINA CHIVATO","l10n_cl_fe.CL03202"
"res_city_sector_DAG","DAG","DIEGO DE ALMAGRO","l10n_cl_fe.CL03202"
"res_city_sector_ESL","ESL","EL SALADO","l10n_cl_fe.CL03202"
"res_city_sector_ESR","ESR","EL SALVADOR","l10n_cl_fe.CL03202"
"res_city_sector_IRO","IRO","INCA DE ORO","l10n_cl_fe.CL03202"
"res_city_sector_LLT","LLT","LLANTA","l10n_cl_fe.CL03202"
"res_city_sector_MNN","MNN","MONTANDON","l10n_cl_fe.CL03202"
"res_city_sector_PTS","PTS","POTRERILLOS","l10n_cl_fe.CL03202"
"res_city_sector_QBQ","QBQ","BOCAMINA","l10n_cl_fe.CL03202"
"res_city_sector_QLA","QLA","LA OLA","l10n_cl_fe.CL03202"
"res_city_sector_QPN","QPN","EL PINO","l10n_cl_fe.CL03202"
"res_city_sector_QTR","QTR","TERMAS DE RIO NEGRO","l10n_cl_fe.CL03202"
"res_city_sector_QVC","QVC","VEGAS DE CHANARAL AL","l10n_cl_fe.CL03202"
"res_city_sector_DYK","DYK","DOMEYKO","l10n_cl_fe.CL03301"
"res_city_sector_EBL","EBL","EL BORATILLO","l10n_cl_fe.CL03301"
"res_city_sector_LSX","LSX","OBSERVATORIO LA SILL","l10n_cl_fe.CL03301"
"res_city_sector_VAL","VAL","VALLENAR","l10n_cl_fe.CL03301"
"res_city_sector_VCQ","VCQ","CACHIYUYO","l10n_cl_fe.CL03301"
"res_city_sector_VHY","VHY","LA HOYADA","l10n_cl_fe.CL03301"
"res_city_sector_VLO","VLO","LOS COLORADOS","l10n_cl_fe.CL03301"
"res_city_sector_VOB","VOB","EL DONKEY","l10n_cl_fe.CL03301"
"res_city_sector_VOS","VOS","OBSERVATORIO CAMPANA","l10n_cl_fe.CL03301"
"res_city_sector_VZV","VZV","ALGARROBAL","l10n_cl_fe.CL03301"
"res_city_sector_ADC","ADC","ALTO DEL CARMEN","l10n_cl_fe.CL03302"
"res_city_sector_LHI","LHI","LA HIGUERA","l10n_cl_fe.CL03302"
"res_city_sector_TMO","TMO","EL RETAMO","l10n_cl_fe.CL03302"
"res_city_sector_VCO","VCO","CONAY","l10n_cl_fe.CL03302"
"res_city_sector_VET","VET","EL TRANSITO - SERENA","l10n_cl_fe.CL03302"
"res_city_sector_VJU","VJU","JUNTA VALERIANO","l10n_cl_fe.CL03302"
"res_city_sector_VLA","VLA","LA ARENA ","l10n_cl_fe.CL03302"
"res_city_sector_VLH","VLH","LA HIGUERITA","l10n_cl_fe.CL03302"
"res_city_sector_VSA","VSA","SAN FELIX","l10n_cl_fe.CL03302"
"res_city_sector_ZMJ","ZMJ","EL NEVADO","l10n_cl_fe.CL03302"
"res_city_sector_ZTA","ZTA","LAGUNA GRANDE","l10n_cl_fe.CL03302"
"res_city_sector_FRN","FRN","FREIRINA","l10n_cl_fe.CL03303"
"res_city_sector_TSC","TSC","CALETA SARCO","l10n_cl_fe.CL03303"
"res_city_sector_VCI","VCI","CARRIZALILLO","l10n_cl_fe.CL03303"
